wstudent_id,question_id,score,max_score
S0013,Q6,5,10
S0013,Q7,8,10
S0013,Q8,7,10
S0013,Q9,5,10
S0013,Q10,7,10
S0014,Q1,5,10
S0014,Q2,3,10
S0014,Q3,2,10
S0014,Q4,5,10
S0014,Q5,5,10
S0014,Q6,1,10
S0014,Q7,5,10
S0014,Q8,7,10
S0014,Q9,0,10
S0014,Q10,9,10
S0015,Q1,2,10
S0015,Q2,6,10
S0015,Q3,8,10
S0015,Q4,1,10
S0015,Q5,9,10
S0015,Q6,1,10
S0015,Q7,3,10
S0015,Q8,5,10
S0015,Q9,4,10
S0015,Q10,8,10
S0016,Q1,6,10
S0016,Q2,2,10
S0016,Q3,7,10
S0016,Q4,5,10
S0016,Q5,5,10
S0016,Q6,5,10
S0016,Q7,3,10
S0016,Q8,7,10
S0016,Q9,8,10
S0016,Q10,0,10
S0017,Q1,7,10
S0017,Q2,2,10
S0017,Q3,3,10
S0017,Q4,6,10
S0017,Q5,0,10
S0017,Q6,6,10
S0017,Q7,9,10
S0017,Q8,4,10
S0017,Q9,3,10
S0017,Q10,2,10
S0018,Q1,3,10
S0018,Q2,5,10
S0018,Q3,5,10
S0018,Q4,2,10
S0018,Q5,3,10
S0018,Q6,3,10
S0018,Q7,4,10
S0018,Q8,2,10
S0018,Q9,8,10
S0018,Q10,4,10
S0019,Q1,5,10
S0019,Q2,3,10
S0019,Q3,1,10
S0019,Q4,8,10
S0019,Q5,4,10
S0019,Q6,7,10
S0019,Q7,2,10
S0019,Q8,6,10
S0019,Q9,6,10
S0019,Q10,1,10
S0020,Q1,2,10
S0020,Q2,7,10
S0020,Q3,6,10
S0020,Q4,9,10
S0020,Q5,6,10
S0020,Q6,7,10
S0020,Q7,6,10
S0020,Q8,5,10
S0020,Q9,7,10
S0020,Q10,0,10
S0021,Q1,6,10
S0021,Q2,4,10
S0021,Q3,0,10
S0021,Q4,3,10
S0021,Q5,1,10
S0021,Q6,8,10
S0021,Q7,7,10
S0021,Q8,7,10
S0021,Q9,8,10
S0021,Q10,1,10
S0022,Q1,8,10
S0022,Q2,1,10
S0022,Q3,3,10
S0022,Q4,7,10
S0022,Q5,6,10
S0022,Q6,7,10
S0022,Q7,8,10
S0022,Q8,4,10
S0022,Q9,3,10
S0022,Q10,5,10
S0023,Q1,7,10
S0023,Q2,4,10
S0023,Q3,8,10
S0023,Q4,6,10
S0023,Q5,8,10
S0023,Q6,0,10
S0023,Q7,2,10
S0023,Q8,7,10
S0023,Q9,8,10
S0023,Q10,7,10
S0024,Q1,8,10
S0024,Q2,3,10
S0024,Q3,6,10
S0024,Q4,4,10
S0024,Q5,7,10
S0024,Q6,3,10
S0024,Q7,6,10
S0024,Q8,9,10
S0024,Q9,6,10
S0024,Q10,3,10
S0025,Q1,8,10
S0025,Q2,1,10
S0025,Q3,9,10
S0025,Q4,4,10
S0025,Q5,7,10
S0025,Q6,7,10
S0025,Q7,6,10
S0025,Q8,8,10
S0025,Q9,5,10
S0025,Q10,9,10
S0026,Q1,5,10
S0026,Q2,7,10
S0026,Q3,5,10
S0026,Q4,4,10
S0026,Q5,5,10
S0026,Q6,5,10
S0026,Q7,6,10
S0026,Q8,7,10
S0026,Q9,3,10
S0026,Q10,7,10
S0027,Q1,1,10
S0027,Q2,6,10
S0027,Q3,9,10
S0027,Q4,1,10
S0027,Q5,7,10
S0027,Q6,7,10
S0027,Q7,2,10
S0027,Q8,5,10
S0027,Q9,6,10
S0027,Q10,6,10
S0028,Q1,3,10
S0028,Q2,2,10
S0028,Q3,7,10
S0028,Q4,2,10
S0028,Q5,2,10
S0028,Q6,7,10
S0028,Q7,4,10
S0028,Q8,5,10
S0028,Q9,2,10
S0028,Q10,5,10
S0029,Q1,7,10
S0029,Q2,3,10
S0029,Q3,4,10
S0029,Q4,1,10
S0029,Q5,8,10
S0029,Q6,3,10
S0029,Q7,2,10
S0029,Q8,9,10
S0029,Q9,4,10
S0029,Q10,4,10
S0030,Q1,8,10
S0030,Q2,5,10
S0030,Q3,4,10
S0030,Q4,6,10
S0030,Q5,7,10
S0030,Q6,5,10
S0030,Q7,3,10
S0030,Q8,4,10
S0030,Q9,8,10
S0030,Q10,6,10
S0031,Q1,8,10
S0031,Q2,5,10
S0031,Q3,7,10
S0031,Q4,1,10
S0031,Q5,4,10
S0031,Q6,1,10
S0031,Q7,5,10
S0031,Q8,7,10
S0031,Q9,2,10
S0031,Q10,2,10
S0032,Q1,2,10
S0032,Q2,7,10
S0032,Q3,3,10
S0032,Q4,7,10
S0032,Q5,6,10
S0032,Q6,4,10
S0032,Q7,5,10
S0032,Q8,7,10
S0032,Q9,4,10
S0032,Q10,3,10
S0033,Q1,1,10
S0033,Q2,6,10
S0033,Q3,3,10
S0033,Q4,3,10
S0033,Q5,8,10
S0033,Q6,8,10
S0033,Q7,7,10
S0033,Q8,5,10
S0033,Q9,7,10
S0033,Q10,6,10
S0034,Q1,3,10
S0034,Q2,5,10
S0034,Q3,4,10
S0034,Q4,6,10
S0034,Q5,2,10
S0034,Q6,9,10
S0034,Q7,6,10
S0034,Q8,1,10
S0034,Q9,7,10
S0034,Q10,6,10
S0035,Q1,3,10
S0035,Q2,3,10
S0035,Q3,2,10
S0035,Q4,7,10
S0035,Q5,5,10
S0035,Q6,6,10
S0035,Q7,7,10
S0035,Q8,1,10
S0035,Q9,8,10
S0035,Q10,6,10
S0036,Q1,6,10
S0036,Q2,3,10
S0036,Q3,3,10
S0036,Q4,2,10
S0036,Q5,3,10
S0036,Q6,5,10
S0036,Q7,7,10
S0036,Q8,7,10
S0036,Q9,7,10
S0036,Q10,8,10
S0037,Q1,5,10
S0037,Q2,7,10
S0037,Q3,6,10
S0037,Q4,9,10
S0037,Q5,5,10
S0037,Q6,5,10
S0037,Q7,5,10
S0037,Q8,3,10
S0037,Q9,7,10
S0037,Q10,6,10
S0038,Q1,1,10
S0038,Q2,4,10
S0038,Q3,7,10
S0038,Q4,2,10
S0038,Q5,4,10
S0038,Q6,6,10
S0038,Q7,4,10
S0038,Q8,5,10
S0038,Q9,7,10
S0038,Q10,6,10
S0039,Q1,4,10
S0039,Q2,3,10
S0039,Q3,4,10
S0039,Q4,5,10
S0039,Q5,8,10
S0039,Q6,1,10
S0039,Q7,8,10
S0039,Q8,6,10
S0039,Q9,7,10
S0039,Q10,6,10
S0040,Q1,5,10
S0040,Q2,8,10
S0040,Q3,6,10
S0040,Q4,8,10
S0040,Q5,8,10
S0040,Q6,2,10
S0040,Q7,6,10
S0040,Q8,1,10
S0040,Q9,2,10
S0040,Q10,6,10
S0041,Q1,5,10
S0041,Q2,2,10
S0041,Q3,7,10
S0041,Q4,5,10
S0041,Q5,2,10
S0041,Q6,7,10
S0041,Q7,2,10
S0041,Q8,2,10
S0041,Q9,3,10
S0041,Q10,6,10
S0042,Q1,3,10
S0042,Q2,7,10
S0042,Q3,6,10
S0042,Q4,5,10
S0042,Q5,1,10
S0042,Q6,0,10
S0042,Q7,5,10
S0042,Q8,6,10
S0042,Q9,5,10
S0042,Q10,1,10
S0043,Q1,6,10
S0043,Q2,4,10
S0043,Q3,8,10
S0043,Q4,7,10
S0043,Q5,7,10
S0043,Q6,6,10
S0043,Q7,6,10
S0043,Q8,1,10
S0043,Q9,3,10
S0043,Q10,3,10
S0044,Q1,5,10
S0044,Q2,3,10
S0044,Q3,8,10
S0044,Q4,6,10
S0044,Q5,2,10
S0044,Q6,3,10
S0044,Q7,0,10
S0044,Q8,5,10
S0044,Q9,5,10
S0044,Q10,3,10
S0045,Q1,7,10
S0045,Q2,3,10
S0045,Q3,8,10
S0045,Q4,5,10
S0045,Q5,3,10
S0045,Q6,9,10
S0045,Q7,7,10
S0045,Q8,4,10
S0045,Q9,5,10
S0045,Q10,8,10
S0046,Q1,0,10
S0046,Q2,6,10
S0046,Q3,1,10
S0046,Q4,3,10
S0046,Q5,6,10
S0046,Q6,6,10
S0046,Q7,4,10
S0046,Q8,1,10
S0046,Q9,2,10
S0046,Q10,7,10
S0047,Q1,7,10
S0047,Q2,6,10
S0047,Q3,7,10
S0047,Q4,2,10
S0047,Q5,4,10
S0047,Q6,9,10
S0047,Q7,4,10
S0047,Q8,4,10
S0047,Q9,4,10
S0047,Q10,1,10
S0048,Q1,9,10
S0048,Q2,4,10
S0048,Q3,2,10
S0048,Q4,2,10
S0048,Q5,6,10
S0048,Q6,5,10
S0048,Q7,1,10
S0048,Q8,7,10
S0048,Q9,4,10
S0048,Q10,4,10
S0049,Q1,5,10
S0049,Q2,0,10
S0049,Q3,6,10
S0049,Q4,2,10
S0049,Q5,3,10
S0049,Q6,8,10
S0049,Q7,6,10
S0049,Q8,5,10
S0049,Q9,3,10
S0049,Q10,3,10
S0050,Q1,5,10
S0050,Q2,1,10
S0050,Q3,6,10
S0050,Q4,2,10
S0050,Q5,6,10
S0050,Q6,7,10
S0050,Q7,9,10
S0050,Q8,4,10
S0050,Q9,7,10
S0050,Q10,2,10
S0051,Q1,3,10
S0051,Q2,9,10
S0051,Q3,8,10
S0051,Q4,3,10
S0051,Q5,5,10
S0051,Q6,3,10
S0051,Q7,8,10
S0051,Q8,6,10
S0051,Q9,6,10
S0051,Q10,7,10
S0052,Q1,6,10
S0052,Q2,4,10
S0052,Q3,8,10
S0052,Q4,7,10
S0052,Q5,3,10
S0052,Q6,2,10
S0052,Q7,2,10
S0052,Q8,4,10
S0052,Q9,7,10
S0052,Q10,6,10
S0053,Q1,1,10
S0053,Q2,4,10
S0053,Q3,5,10
S0053,Q4,7,10
S0053,Q5,3,10
S0053,Q6,2,10
S0053,Q7,2,10
S0053,Q8,7,10
S0053,Q9,2,10
S0053,Q10,9,10
S0054,Q1,3,10
S0054,Q2,9,10
S0054,Q3,5,10
S0054,Q4,1,10
S0054,Q5,4,10
S0054,Q6,3,10
S0054,Q7,2,10
S0054,Q8,3,10
S0054,Q9,9,10
S0054,Q10,7,10
S0055,Q1,9,10
S0055,Q2,7,10
S0055,Q3,7,10
S0055,Q4,5,10
S0055,Q5,7,10
S0055,Q6,6,10
S0055,Q7,3,10
S0055,Q8,2,10
S0055,Q9,2,10
S0055,Q10,2,10
S0056,Q1,6,10
S0056,Q2,3,10
S0056,Q3,7,10
S0056,Q4,2,10
S0056,Q5,4,10
S0056,Q6,4,10
S0056,Q7,2,10
S0056,Q8,3,10
S0056,Q9,0,10
S0056,Q10,6,10
S0057,Q1,6,10
S0057,Q2,8,10
S0057,Q3,8,10
S0057,Q4,6,10
S0057,Q5,8,10
S0057,Q6,7,10
S0057,Q7,6,10
S0057,Q8,7,10
S0057,Q9,3,10
S0057,Q10,7,10
S0058,Q1,2,10
S0058,Q2,3,10
S0058,Q3,3,10
S0058,Q4,7,10
S0058,Q5,0,10
S0058,Q6,5,10
S0058,Q7,3,10
S0058,Q8,6,10
S0058,Q9,3,10
S0058,Q10,1,10
S0059,Q1,7,10
S0059,Q2,9,10
S0059,Q3,4,10
S0059,Q4,2,10
S0059,Q5,3,10
S0059,Q6,2,10
S0059,Q7,6,10
S0059,Q8,3,10
S0059,Q9,3,10
S0059,Q10,8,10
S0060,Q1,6,10
S0060,Q2,2,10
S0060,Q3,1,10
S0060,Q4,2,10
S0060,Q5,7,10
S0060,Q6,4,10
S0060,Q7,7,10
S0060,Q8,2,10
S0060,Q9,8,10
S0060,Q10,7,10
S0061,Q1,1,10
S0061,Q2,0,10
S0061,Q3,5,10
S0061,Q4,5,10
S0061,Q5,7,10
S0061,Q6,4,10
S0061,Q7,7,10
S0061,Q8,2,10
S0061,Q9,9,10
S0061,Q10,7,10
S0062,Q1,5,10
S0062,Q2,5,10
S0062,Q3,3,10
S0062,Q4,5,10
S0062,Q5,9,10
S0062,Q6,6,10
S0062,Q7,3,10
S0062,Q8,6,10
S0062,Q9,2,10
S0062,Q10,5,10
S0063,Q1,5,10
S0063,Q2,6,10
S0063,Q3,3,10
S0063,Q4,3,10
S0063,Q5,7,10
S0063,Q6,1,10
S0063,Q7,4,10
S0063,Q8,4,10
S0063,Q9,0,10
S0063,Q10,9,10
S0064,Q1,5,10
S0064,Q2,3,10
S0064,Q3,7,10
S0064,Q4,5,10
S0064,Q5,4,10
S0064,Q6,5,10
S0064,Q7,7,10
S0064,Q8,5,10
S0064,Q9,6,10
S0064,Q10,6,10
S0065,Q1,1,10
S0065,Q2,6,10
S0065,Q3,9,10
S0065,Q4,2,10
S0065,Q5,7,10
S0065,Q6,2,10
S0065,Q7,9,10
S0065,Q8,7,10
S0065,Q9,9,10
S0065,Q10,7,10
S0066,Q1,6,10
S0066,Q2,2,10
S0066,Q3,3,10
S0066,Q4,7,10
S0066,Q5,3,10
S0066,Q6,8,10
S0066,Q7,6,10
S0066,Q8,2,10
S0066,Q9,7,10
S0066,Q10,7,10
S0067,Q1,2,10
S0067,Q2,5,10
S0067,Q3,4,10
S0067,Q4,3,10
S0067,Q5,8,10
S0067,Q6,6,10
S0067,Q7,2,10
S0067,Q8,8,10
S0067,Q9,6,10
S0067,Q10,2,10
S0068,Q1,3,10
S0068,Q2,6,10
S0068,Q3,8,10
S0068,Q4,3,10
S0068,Q5,4,10
S0068,Q6,5,10
S0068,Q7,5,10
S0068,Q8,2,10
S0068,Q9,6,10
S0068,Q10,2,10
S0069,Q1,2,10
S0069,Q2,4,10
S0069,Q3,4,10
S0069,Q4,4,10
S0069,Q5,2,10
S0069,Q6,3,10
S0069,Q7,8,10
S0069,Q8,9,10
S0069,Q9,3,10
S0069,Q10,8,10
S0070,Q1,1,10
S0070,Q2,2,10
S0070,Q3,2,10
S0070,Q4,2,10
S0070,Q5,7,10
S0070,Q6,5,10
S0070,Q7,1,10
S0070,Q8,1,10
S0070,Q9,9,10
S0070,Q10,7,10
S0071,Q1,1,10
S0071,Q2,8,10
S0071,Q3,3,10
S0071,Q4,5,10
S0071,Q5,6,10
S0071,Q6,2,10
S0071,Q7,1,10
S0071,Q8,4,10
S0071,Q9,5,10
S0071,Q10,8,10
S0072,Q1,2,10
S0072,Q2,6,10
S0072,Q3,3,10
S0072,Q4,4,10
S0072,Q5,8,10
S0072,Q6,4,10
S0072,Q7,9,10
S0072,Q8,2,10
S0072,Q9,3,10
S0072,Q10,1,10
S0073,Q1,8,10
S0073,Q2,3,10
S0073,Q3,2,10
S0073,Q4,6,10
S0073,Q5,5,10
S0073,Q6,3,10
S0073,Q7,5,10
S0073,Q8,2,10
S0073,Q9,7,10
S0073,Q10,5,10
S0074,Q1,4,10
S0074,Q2,7,10
S0074,Q3,4,10
S0074,Q4,0,10
S0074,Q5,2,10
S0074,Q6,4,10
S0074,Q7,6,10
S0074,Q8,4,10
S0074,Q9,8,10
S0074,Q10,2,10
S0075,Q1,8,10
S0075,Q2,2,10
S0075,Q3,2,10
S0075,Q4,2,10
S0075,Q5,4,10
S0075,Q6,4,10
S0075,Q7,8,10
S0075,Q8,4,10
S0075,Q9,8,10
S0075,Q10,7,10
S0076,Q1,3,10
S0076,Q2,0,10
S0076,Q3,5,10
S0076,Q4,6,10
S0076,Q5,7,10
S0076,Q6,2,10
S0076,Q7,5,10
S0076,Q8,7,10
S0076,Q9,4,10
S0076,Q10,7,10
S0077,Q1,5,10
S0077,Q2,5,10
S0077,Q3,8,10
S0077,Q4,7,10
S0077,Q5,7,10
S0077,Q6,2,10
S0077,Q7,6,10
S0077,Q8,0,10
S0077,Q9,3,10
S0077,Q10,2,10
S0078,Q1,9,10
S0078,Q2,0,10
S0078,Q3,7,10
S0078,Q4,8,10
S0078,Q5,9,10
S0078,Q6,9,10
S0078,Q7,9,10
S0078,Q8,4,10
S0078,Q9,6,10
S0078,Q10,3,10
S0079,Q1,2,10
S0079,Q2,6,10
S0079,Q3,3,10
S0079,Q4,6,10
S0079,Q5,3,10
S0079,Q6,2,10
S0079,Q7,8,10
S0079,Q8,1,10
S0079,Q9,3,10
S0079,Q10,5,10
S0080,Q1,3,10
S0080,Q2,3,10
S0080,Q3,3,10
S0080,Q4,0,10
S0080,Q5,6,10
S0080,Q6,5,10
S0080,Q7,6,10
S0080,Q8,5,10
S0080,Q9,6,10
S0080,Q10,4,10
S0081,Q1,8,10
S0081,Q2,6,10
S0081,Q3,8,10
S0081,Q4,3,10
S0081,Q5,2,10
S0081,Q6,8,10
S0081,Q7,4,10
S0081,Q8,4,10
S0081,Q9,7,10
S0081,Q10,7,10
S0082,Q1,2,10
S0082,Q2,7,10
S0082,Q3,3,10
S0082,Q4,4,10
S0082,Q5,0,10
S0082,Q6,7,10
S0082,Q7,2,10
S0082,Q8,2,10
S0082,Q9,2,10
S0082,Q10,8,10
S0083,Q1,2,10
S0083,Q2,4,10
S0083,Q3,8,10
S0083,Q4,5,10
S0083,Q5,2,10
S0083,Q6,3,10
S0083,Q7,3,10
S0083,Q8,3,10
S0083,Q9,2,10
S0083,Q10,8,10
S0084,Q1,6,10
S0084,Q2,6,10
S0084,Q3,3,10
S0084,Q4,6,10
S0084,Q5,8,10
S0084,Q6,3,10
S0084,Q7,0,10
S0084,Q8,6,10
S0084,Q9,4,10
S0084,Q10,2,10
S0085,Q1,2,10
S0085,Q2,0,10
S0085,Q3,0,10
S0085,Q4,1,10
S0085,Q5,2,10
S0085,Q6,1,10
S0085,Q7,2,10
S0085,Q8,8,10
S0085,Q9,2,10
S0085,Q10,8,10
S0086,Q1,0,10
S0086,Q2,3,10
S0086,Q3,2,10
S0086,Q4,2,10
S0086,Q5,2,10
S0086,Q6,7,10
S0086,Q7,8,10
S0086,Q8,7,10
S0086,Q9,3,10
S0086,Q10,1,10
S0087,Q1,8,10
S0087,Q2,9,10
S0087,Q3,3,10
S0087,Q4,2,10
S0087,Q5,2,10
S0087,Q6,4,10
S0087,Q7,2,10
S0087,Q8,8,10
S0087,Q9,5,10
S0087,Q10,5,10
S0088,Q1,0,10
S0088,Q2,6,10
S0088,Q3,2,10
S0088,Q4,6,10
S0088,Q5,2,10
S0088,Q6,3,10
S0088,Q7,8,10
S0088,Q8,3,10
S0088,Q9,6,10
S0088,Q10,7,10
S0089,Q1,7,10
S0089,Q2,3,10
S0089,Q3,3,10
S0089,Q4,4,10
S0089,Q5,5,10
S0089,Q6,5,10
S0089,Q7,7,10
S0089,Q8,8,10
S0089,Q9,5,10
S0089,Q10,4,10
S0090,Q1,5,10
S0090,Q2,5,10
S0090,Q3,1,10
S0090,Q4,6,10
S0090,Q5,3,10
S0090,Q6,9,10
S0090,Q7,4,10
S0090,Q8,7,10
S0090,Q9,4,10
S0090,Q10,7,10
S0091,Q1,3,10
S0091,Q2,7,10
S0091,Q3,2,10
S0091,Q4,5,10
S0091,Q5,2,10
S0091,Q6,4,10
S0091,Q7,8,10
S0091,Q8,5,10
S0091,Q9,9,10
S0091,Q10,6,10
S0092,Q1,4,10
S0092,Q2,7,10
S0092,Q3,6,10
S0092,Q4,4,10
S0092,Q5,1,10
S0092,Q6,5,10
S0092,Q7,5,10
S0092,Q8,7,10
S0092,Q9,5,10
S0092,Q10,3,10
S0093,Q1,8,10
S0093,Q2,3,10
S0093,Q3,4,10
S0093,Q4,4,10
S0093,Q5,3,10
S0093,Q6,1,10
S0093,Q7,5,10
S0093,Q8,2,10
S0093,Q9,3,10
S0093,Q10,6,10
S0094,Q1,5,10
S0094,Q2,2,10
S0094,Q3,5,10
S0094,Q4,3,10
S0094,Q5,3,10
S0094,Q6,5,10
S0094,Q7,4,10
S0094,Q8,5,10
S0094,Q9,4,10
S0094,Q10,2,10
S0095,Q1,8,10
S0095,Q2,5,10
S0095,Q3,2,10
S0095,Q4,6,10
S0095,Q5,5,10
S0095,Q6,0,10
S0095,Q7,4,10
S0095,Q8,7,10
S0095,Q9,9,10
S0095,Q10,6,10
S0096,Q1,5,10
S0096,Q2,8,10
S0096,Q3,6,10
S0096,Q4,2,10
S0096,Q5,6,10
S0096,Q6,2,10
S0096,Q7,5,10
S0096,Q8,1,10
S0096,Q9,8,10
S0096,Q10,6,10
S0097,Q1,3,10
S0097,Q2,4,10
S0097,Q3,4,10
S0097,Q4,6,10
S0097,Q5,2,10
S0097,Q6,2,10
S0097,Q7,5,10
S0097,Q8,3,10
S0097,Q9,3,10
S0097,Q10,2,10
S0098,Q1,7,10
S0098,Q2,1,10
S0098,Q3,5,10
S0098,Q4,1,10
S0098,Q5,2,10
S0098,Q6,6,10
S0098,Q7,2,10
S0098,Q8,6,10
S0098,Q9,2,10
S0098,Q10,3,10
S0099,Q1,7,10
S0099,Q2,3,10
S0099,Q3,3,10
S0099,Q4,6,10
S0099,Q5,3,10
S0099,Q6,8,10
S0099,Q7,2,10
S0099,Q8,1,10
S0099,Q9,6,10
S0099,Q10,3,10
S0100,Q1,4,10
S0100,Q2,5,10
S0100,Q3,1,10
S0100,Q4,1,10
S0100,Q5,2,10
S0100,Q6,3,10
S0100,Q7,5,10
S0100,Q8,0,10
S0100,Q9,0,10
S0100,Q10,9,10
S0101,Q1,5,10
S0101,Q2,2,10
S0101,Q3,9,10
S0101,Q4,6,10
S0101,Q5,5,10
S0101,Q6,4,10
S0101,Q7,0,10
S0101,Q8,8,10
S0101,Q9,8,10
S0101,Q10,2,10
S0102,Q1,1,10
S0102,Q2,3,10
S0102,Q3,6,10
S0102,Q4,3,10
S0102,Q5,4,10
S0102,Q6,7,10
S0102,Q7,7,10
S0102,Q8,2,10
S0102,Q9,6,10
S0102,Q10,0,10
S0103,Q1,5,10
S0103,Q2,8,10
S0103,Q3,2,10
S0103,Q4,3,10
S0103,Q5,8,10
S0103,Q6,4,10
S0103,Q7,2,10
S0103,Q8,6,10
S0103,Q9,4,10
S0103,Q10,5,10
S0104,Q1,5,10
S0104,Q2,9,10
S0104,Q3,5,10
S0104,Q4,4,10
S0104,Q5,7,10
S0104,Q6,4,10
S0104,Q7,2,10
S0104,Q8,2,10
S0104,Q9,2,10
S0104,Q10,2,10
S0105,Q1,4,10
S0105,Q2,3,10
S0105,Q3,6,10
S0105,Q4,8,10
S0105,Q5,7,10
S0105,Q6,4,10
S0105,Q7,4,10
S0105,Q8,2,10
S0105,Q9,1,10
S0105,Q10,7,10
S0106,Q1,7,10
S0106,Q2,6,10
S0106,Q3,4,10
S0106,Q4,6,10
S0106,Q5,6,10
S0106,Q6,5,10
S0106,Q7,4,10
S0106,Q8,6,10
S0106,Q9,5,10
S0106,Q10,5,10
S0107,Q1,4,10
S0107,Q2,7,10
S0107,Q3,5,10
S0107,Q4,3,10
S0107,Q5,3,10
S0107,Q6,7,10
S0107,Q7,7,10
S0107,Q8,6,10
S0107,Q9,6,10
S0107,Q10,4,10
S0108,Q1,9,10
S0108,Q2,6,10
S0108,Q3,2,10
S0108,Q4,5,10
S0108,Q5,8,10
S0108,Q6,2,10
S0108,Q7,7,10
S0108,Q8,6,10
S0108,Q9,2,10
S0108,Q10,5,10
S0109,Q1,5,10
S0109,Q2,6,10
S0109,Q3,8,10
S0109,Q4,3,10
S0109,Q5,4,10
S0109,Q6,6,10
S0109,Q7,8,10
S0109,Q8,2,10
S0109,Q9,7,10
S0109,Q10,5,10
S0110,Q1,1,10
S0110,Q2,3,10
S0110,Q3,2,10
S0110,Q4,4,10
S0110,Q5,4,10
S0110,Q6,9,10
S0110,Q7,7,10
S0110,Q8,5,10
S0110,Q9,5,10
S0110,Q10,2,10
S0111,Q1,8,10
S0111,Q2,6,10
S0111,Q3,7,10
S0111,Q4,4,10
S0111,Q5,8,10
S0111,Q6,5,10
S0111,Q7,0,10
S0111,Q8,9,10
S0111,Q9,6,10
S0111,Q10,6,10
S0112,Q1,4,10
S0112,Q2,6,10
S0112,Q3,2,10
S0112,Q4,2,10
S0112,Q5,9,10
S0112,Q6,1,10
S0112,Q7,7,10
S0112,Q8,3,10
S0112,Q9,2,10
S0112,Q10,4,10
S0113,Q1,3,10
S0113,Q2,7,10
S0113,Q3,5,10
S0113,Q4,5,10
S0113,Q5,4,10
S0113,Q6,4,10
S0113,Q7,3,10
S0113,Q8,0,10
S0113,Q9,4,10
S0113,Q10,2,10
S0114,Q1,7,10
S0114,Q2,1,10
S0114,Q3,2,10
S0114,Q4,4,10
S0114,Q5,4,10
S0114,Q6,6,10
S0114,Q7,9,10
S0114,Q8,6,10
S0114,Q9,1,10
S0114,Q10,3,10
S0115,Q1,7,10
S0115,Q2,8,10
S0115,Q3,6,10
S0115,Q4,6,10
S0115,Q5,0,10
S0115,Q6,6,10
S0115,Q7,3,10
S0115,Q8,2,10
S0115,Q9,6,10
S0115,Q10,3,10
S0116,Q1,8,10
S0116,Q2,4,10
S0116,Q3,9,10
S0116,Q4,4,10
S0116,Q5,1,10
S0116,Q6,1,10
S0116,Q7,5,10
S0116,Q8,9,10
S0116,Q9,1,10
S0116,Q10,1,10
S0117,Q1,4,10
S0117,Q2,4,10
S0117,Q3,3,10
